route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,2024-08-19 12:30:00,10h 20m,2024-08-19 22:50:00,4.2,507.0,36
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,2024-08-19 16:50:00,10h 10m,2024-08-20 03:00:00,4.2,512.0,22
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,2024-08-19 17:59:00,10h 16m,2024-08-20 04:15:00,2.0,512.0,26
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,2024-08-19 18:31:00,10h 59m,2024-08-20 05:30:00,4.0,507.0,30
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,2024-08-19 19:35:00,09h 10m,2024-08-20 04:45:00,3.9,892.0,30
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,2024-08-19 19:43:00,09h 47m,2024-08-20 05:30:00,4.2,507.0,23
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,2024-08-19 20:10:00,09h 35m,2024-08-20 05:45:00,4.5,507.0,26
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),2024-08-19 21:00:00,10h 20m,2024-08-20 07:20:00,4.0,622.0,42
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,2024-08-19 21:02:00,09h 28m,2024-08-20 06:30:00,4.4,892.0,24
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,2024-08-19 21:25:00,09h 20m,2024-08-20 06:45:00,3.6,507.0,25
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,2024-08-19 21:58:00,09h 17m,2024-08-20 07:15:00,2.5,507.0,18
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,2024-08-19 22:00:00,09h 30m,2024-08-20 07:30:00,4.6,892.0,32
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,2024-08-19 22:30:00,09h 45m,2024-08-20 08:15:00,4.0,507.0,21
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,2024-08-19 22:30:00,08h 00m,2024-08-20 06:30:00,4.2,867.0,21
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,2024-08-19 23:00:00,08h 50m,2024-08-20 07:50:00,4.4,892.0,25
