route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17962,eGARUDA,2024-08-19 09:30:00,06h 10m,2024-08-19 15:40:00,3.8,533.0,5
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9923,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 09:50:00,06h 10m,2024-08-19 16:00:00,3.4,396.0,10
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),2024-08-19 10:20:00,05h 55m,2024-08-19 16:15:00,2.5,480.0,18
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),2024-08-19 10:40:00,06h 10m,2024-08-19 16:50:00,2.1,480.0,13
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2991,RAJDHANI (A.C. Semi Sleeper),2024-08-19 11:20:00,05h 40m,2024-08-19 17:00:00,2.1,480.0,17
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1805,RAJADHANI AC (CONVERTED METRO LUXURY),2024-08-19 11:45:00,05h 55m,2024-08-19 17:40:00,3.0,480.0,11
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),2024-08-19 12:10:00,04h 30m,2024-08-19 16:40:00,3.1,480.0,20
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 12:20:00,06h 10m,2024-08-19 18:30:00,2.1,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),2024-08-19 12:40:00,04h 30m,2024-08-19 17:10:00,2.7,480.0,13
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 13:00:00,06h 10m,2024-08-19 19:10:00,2.7,396.0,11
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),2024-08-19 13:00:00,06h 10m,2024-08-19 19:10:00,1.7,480.0,8
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 18762,eGARUDA,2024-08-19 13:30:00,06h 20m,2024-08-19 19:50:00,3.5,533.0,9
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 13:40:00,04h 50m,2024-08-19 18:30:00,3.3,396.0,12
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),2024-08-19 14:00:00,05h 40m,2024-08-19 19:40:00,2.7,480.0,7
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 14:20:00,06h 10m,2024-08-19 20:30:00,3.5,396.0,2
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 14:50:00,06h 10m,2024-08-19 21:00:00,3.3,396.0,15
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 15:00:00,06h 00m,2024-08-19 21:00:00,3.9,533.0,2
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1426,RAJDHANI (A.C. Semi Sleeper),2024-08-19 15:20:00,04h 50m,2024-08-19 20:10:00,1.5,480.0,15
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),2024-08-19 15:30:00,06h 30m,2024-08-19 22:00:00,2.9,480.0,10
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),2024-08-19 15:40:00,06h 00m,2024-08-19 21:40:00,2.9,480.0,6
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 15:50:00,05h 00m,2024-08-19 20:50:00,4.4,396.0,11
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12962,eGARUDA,2024-08-19 16:00:00,06h 10m,2024-08-19 22:10:00,3.7,533.0,9
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 16:10:00,06h 10m,2024-08-19 22:20:00,2.7,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 16:40:00,05h 55m,2024-08-19 22:35:00,3.4,533.0,13
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40130,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 16:50:00,04h 50m,2024-08-19 21:40:00,3.3,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12162,eGARUDA,2024-08-19 17:00:00,06h 10m,2024-08-19 23:10:00,3.5,533.0,8
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40731,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 17:10:00,04h 40m,2024-08-19 21:50:00,4.1,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 17:20:00,05h 40m,2024-08-19 23:00:00,3.6,533.0,14
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 17:50:00,04h 50m,2024-08-19 22:40:00,3.7,396.0,21
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),2024-08-19 18:00:00,05h 40m,2024-08-19 23:40:00,3.6,480.0,10
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 18:05:00,05h 30m,2024-08-19 23:35:00,4.2,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 18:10:00,04h 50m,2024-08-19 23:00:00,2.3,396.0,33
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 18:20:00,04h 30m,2024-08-19 22:50:00,3.6,533.0,22
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7772,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 18:30:00,06h 15m,2024-08-20 00:45:00,3.4,405.0,14
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 18:50:00,06h 10m,2024-08-20 01:00:00,4.7,396.0,23
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1592,RAJADHANI AC (CONVERTED METRO LUXURY),2024-08-19 19:00:00,05h 35m,2024-08-20 00:35:00,1.9,480.0,20
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 19:30:00,06h 10m,2024-08-20 01:40:00,3.5,396.0,20
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30962,RAJDHANI (A.C. Semi Sleeper),2024-08-19 19:30:00,06h 30m,2024-08-20 02:00:00,2.5,480.0,11
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1448,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 19:40:00,05h 40m,2024-08-20 01:20:00,3.7,533.0,36
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 19:50:00,06h 10m,2024-08-20 02:00:00,3.9,396.0,32
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1637,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),2024-08-19 20:00:00,05h 40m,2024-08-20 01:40:00,3.8,533.0,16
