route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8617,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",2024-08-19 13:20:00,04h 10m,2024-08-19 17:30:00,4.9,320.0,1
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),2024-08-19 15:30:00,04h 00m,2024-08-19 19:30:00,3.4,389.0,1
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),2024-08-19 18:00:00,04h 00m,2024-08-19 22:00:00,3.1,389.0,1
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),2024-08-19 21:00:00,04h 00m,2024-08-20 01:00:00,3.5,389.0,2
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non AC Seater (2+2),2024-08-19 23:45:00,10h 15m,2024-08-20 10:00:00,3.8,850.0,27
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),2024-08-19 23:55:00,05h 30m,2024-08-20 05:25:00,3.7,750.0,9
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),2024-08-19 23:55:00,05h 30m,2024-08-20 05:25:00,3.4,799.0,7
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),2024-08-19 23:40:00,05h 20m,2024-08-20 05:00:00,3.4,980.0,14
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),2024-08-19 23:40:00,06h 20m,2024-08-20 06:00:00,4.2,880.0,21
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,NON A/C Seater (2+2),2024-08-19 23:40:00,05h 20m,2024-08-20 05:00:00,3.2,1090.0,25
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),2024-08-19 23:40:00,04h 20m,2024-08-20 04:00:00,3.8,999.0,1
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),2024-08-19 23:45:00,06h 15m,2024-08-20 06:00:00,3.8,950.0,2
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,A/C Semi Sleeper (2+2),2024-08-19 23:45:00,05h 35m,2024-08-20 05:20:00,3.8,1100.0,11
